Dimension,Question,Choice_A,Choice_B,Choice_C,Choice_D
Dimension 1: SDLC Use Cases,Q1. Breadth of Coverage: In which phases of the SDLC does your team actively utilize AI (Copilots or Agents)?,"Tactical Execution: Usage is limited to a single phase, primarily during active Coding (e.g., autocomplete).","Core Development Loop: Usage spans 2 phases, typically Coding and Unit Testing (e.g., generating test cases for new code).","Extended Lifecycle: Usage spans 3–4 phases, including Requirements/Analysis (e.g., drafting user stories) and Deployment/Ops (e.g., log analysis).",Full-Spectrum Integration: AI is embedded in every phase from initial Design/Architecture through to Maintenance and Security monitoring.
Dimension 1: SDLC Use Cases,Q2. Complexity of Tasks: What is the primary nature of the tasks you delegate to AI?,"Boilerplate & Syntax: Low-level tasks such as writing repetitive code, boilerplate structures, or fixing syntax errors.","Logic & Unit Functionality: Mid-level tasks like writing entire functions, creating comprehensive unit test suites, or refactoring small code blocks.","Contextual Problem Solving: High-level tasks involving cross-file analysis, such as debugging complex integration issues or identifying security vulnerabilities.","Strategic Engineering: ""Agent-grade"" tasks such as performing a multi-component impact analysis for a major version upgrade or designing a system architecture based on a prompt."
Dimension 1: SDLC Use Cases,Q3. Documentation Automation: How does your team manage technical documentation using AI tools?,Ad-hoc/Manual: We do not use AI for documentation; it is still a manual process.,"Supplemental Assistance: AI is used occasionally to ""clean up"" existing READMEs or add comments to complex code blocks.","Automated Scaffolding: AI consistently generates the first draft of API specifications (Swagger/OpenAPI), READMEs, and ""How-to"" guides based on the code.",Self-Documenting Ecosystem: Documentation is kept in sync with code changes via AI agents that automatically update technical specs and architectural diagrams during the PR process.
Dimension 3: Infrastructure & Tooling (The Enabler Stack),"Q4. Use Case Impact: Which best describes the ""value-add"" of AI in your daily SDLC workflow?",Speed & Friction Reduction: It mainly helps me type faster and remember syntax.,Quality Improvement: It helps reduce bugs by suggesting better logic or catching edge cases during coding.,Scope Expansion: It allows the team to take on more complex tasks (like large-scale migrations) that would be too time-consuming to do manually.,Process Transformation: It has fundamentally changed how we work; we spend more time reviewing and orchestrating AI agents than writing manual code.
Dimension 3: Infrastructure & Tooling (The Enabler Stack),Q1. Protocol Readiness: To what extent are your AI tools integrated with your local development environment and data?,Isolated Sandbox: AI tools have no access to local files or tools; code must be manually copied and pasted into a chat interface.,"Local File Access: The IDE/Copilot can ""read"" the open files in the workspace but cannot execute commands or access external databases.","Tool & Server Integration: We use protocols (like MCP) that allow AI agents to browse the full repository, run terminal commands, or query local databases.","Full Ecosystem Orchestration: Agents are fully integrated into our CI/CD pipelines and internal APIs, allowing them to autonomously perform tasks like triggering builds or checking deployment logs."
Dimension 3: Infrastructure & Tooling (The Enabler Stack),Q2. Model Access & Performance: Which statement best describes the availability and reliability of the AI models provided to your team?,"Limited/Basic Access: We only have access to older or ""lite"" models (e.g., GPT-3.5 or basic open-source models) with frequent downtime or high latency.","Standardized Access: We have reliable access to a ""Pro"" model (e.g., GPT-4 or Claude 3.5 Sonnet), but the latency sometimes interrupts the coding flow.","High-Performance Multi-Model: We can switch between various high-tier models based on the task (e.g., using a fast model for autocomplete and a complex model for logic) with minimal latency.","Optimized Enterprise Gateway: Our models are served through a dedicated internal gateway that is highly reliable, low-latency, and includes specialized fine-tuned models for our specific tech stack."
Dimension 3: Infrastructure & Tooling (The Enabler Stack),"Q3. Environment Context: How much ""contextual knowledge"" does the AI have about your specific project and architecture?",Zero Context: The AI only knows what is in the current active snippet; it has no knowledge of the rest of the project or our coding standards.,"Shallow Context: The AI can see a few neighboring files in the IDE, but often suggests code that violates our project-specific patterns or architecture.","RAG-Enabled Context: We use Retrieval-Augmented Generation (RAG) or indexed repositories, allowing the AI to ""search"" our entire codebase to provide relevant, architecturally-sound suggestions.","Deep Institutional Knowledge: The AI is fed with our organization’s specific architecture blueprints, security policies, and ""gold standard"" templates, resulting in highly accurate, compliant code."
Dimension 2: Mode of Usage (Human-Agent Interaction),Q4. Infrastructure Constraints: What is the biggest technical blocker preventing your team from using more advanced AI agents?,Access/Security Restrictions: Internal policies or client mandates prevent us from connecting AI tools to our codebase or the internet.,Compute/Resource Gaps: Our hardware or the provided AI IDEs are too slow to support advanced agentic loops or large context windows.,"Lack of Integration Tools: We lack the ""middle-ware"" (like MCP servers or specialized plugins) needed to give agents the tools they need to be effective.",No Significant Blockers: Our infrastructure is fully modernized; any limitations are purely based on the current state of AI model capabilities.
Dimension 2: Mode of Usage (Human-Agent Interaction),Q1. Interaction Pattern: What is the primary way your team interacts with AI during a typical sprint?,"Conversational Refactoring (Chat Mode): Using a sidebar chat to ask questions, explain existing code, or request specific refactors of highlighted snippets (e.g., ""Explain what this function does"" or ""Refactor this to use a switch statement"").","Task-Based Delegation (Instruct Mode): Giving the AI a specific, contained unit of work where the scope is clearly defined (e.g., ""Write a unit test for this class"" or ""Convert this SQL query into a Knex.js builder"").","Agentic Orchestration (Plan & Suggest): Assigning a broad goal to an agent (e.g., ""Analyze the impact of upgrading to Java 21"") where the agent identifies the necessary changes and presents a plan or a set of draft PRs for human review.","Autonomous Execution (Close-the-Loop): Handing off a complex objective to an agent that not only plans but also executes the changes, runs local tests, fixes its own errors, and only alerts the human once the goal is reached or it hits a terminal blocker."
Dimension 2: Mode of Usage (Human-Agent Interaction),"Q2. Review Loop & Accuracy: When AI generates a significant block of code, how much manual ""fixing"" is typically required?",Heavy Intervention: I rarely use the output as-is; it usually requires significant manual rewriting to make it functional or compliant.,"Iterative Prompting: The first output is often a ""hallucination"" or slightly off, requiring 2-3 follow-up prompts to get the desired result.",Minor Polishing: The output is 80-90% correct; I usually just need to fix variable names or minor logic to match our project style.,"Near-Seamless Acceptance: The output is almost always correct and ready for PR after a quick validation, requiring little to no manual code changes."
