response_id,submitted_at,question_id,choice_letter,score
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-001,A,0
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-002,A,0
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-003,A,0
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-004,A,0
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-005,C,6
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-006,B,3
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-007,A,0
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-008,C,6
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-009,B,3
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-010,B,3
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-011,B,3
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-012,B,3
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-013,C,6
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-014,C,6
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-015,B,3
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-016,C,6
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-017,C,6
0d331236-26d8-422c-aa43-c316c85ffbba,2026-04-18T06:55:03.898Z,sdlc-018,C,6
